stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20
RVNL,579.8,0.010489346332670502,13.059738338108138,11.282661007426503,True,False,0,29.223720289063735
MAZDOCK,4238.4,0.010476207229832566,13.013262770452343,9.86809487519973,True,False,0,281.38647064428915
GRSE,1757.05,0.010856184148881613,14.421434703185083,9.323680921749474,True,False,0,129.19869584628444
SUZLON,77.0,0.008232579811731276,6.961441787651005,6.496785364296507,True,False,0,2.6673089330860296
DEEPAKFERT,1043.3,0.008393321056996668,7.290554928092746,6.415308467233414,True,False,0,41.07285783110072
INDIACEM,363.35,0.008430862784527886,7.369360030828245,6.104662183494783,True,False,0,11.34216524459028
KAYNES,4749.95,0.00796670127445858,6.445491795923027,5.756417028095039,True,True,1,201.41911975097716
EMAMILTD,813.0,0.007022666249616427,4.869162182237804,4.196220727499487,True,False,0,31.059223494355276
GRANULES,703.85,0.006706184063728372,4.419255173037808,4.041577021955798,True,False,0,17.415121820318312
OIL,733.9,0.006798253181907548,4.546459530909777,4.016078953779396,True,False,0,28.33261430521926
SUVENPHAR,1062.4,0.00670385967024011,4.416081789207091,3.9259574844855316,True,False,0,38.66221587300472
BBTC,2534.25,0.006772315339212161,4.510324230703843,3.8083455447274566,True,False,0,106.47522151670678
COCHINSHIP,1954.8,0.007753323442614672,6.055712042291562,3.6400679956443334,True,False,0,129.57146470458633
GLENMARK,1691.3,0.005895993667520941,3.41845639951471,3.21990636178558,True,False,0,40.94996807360022
BIKAJI,833.7,0.006087912023272503,3.6373998400371903,3.1852435223350364,True,False,0,28.461302199509813
PAYTM,554.5,0.00586644110387015,3.385673291044368,2.9280069315300548,True,False,0,24.287586041103147
FSL,308.85,0.006073806629645366,3.6209451896390057,2.86229433707028,True,False,0,12.8308284819027
CHOLAHLDNG,1649.35,0.005570720488825781,3.070726819269293,2.766582819695519,True,False,0,59.08423220405656
NATCOPHARM,1499.15,0.005408313109476069,2.907488747488712,2.6646918817870118,True,False,0,47.39925247324389
MOTHERSON,194.68,0.005952755369534908,3.4821119516470276,2.6169179981526938,True,False,0,6.435913083320806
DIXON,13201.9,0.005693555113621063,3.198703926059631,2.603087475851143,True,False,0,399.3192108987014
OFSS,10807.75,0.005589678507538037,3.0902209225919233,2.5923264500911776,True,False,0,346.5299655831769
COROMANDEL,1724.85,0.005274428369514263,2.777853341031275,2.539466842859683,True,False,0,49.399212697650164
PERSISTENT,5077.95,0.0053244841508512195,2.8258092212530337,2.5109199094305263,True,False,0,144.6303694460376
AFFLE,1643.6,0.005097802852008817,2.613389742831344,2.4653152195080024,True,False,0,55.65794781860834
KALYANKJIL,610.6,0.005391014355166725,2.890491960006701,2.442177379645524,True,False,0,23.301271862006978
PCBL,481.45,0.006304906982269365,3.8980470259330726,2.3698250827537364,True,False,0,16.796886071869853
WHIRLPOOL,2194.8,0.005178595629057353,2.6877115832283303,2.2994666421562435,True,False,0,68.74863916814695
TRENT,7170.65,0.005044979702958219,2.565609065532632,2.2508386528809408,True,False,0,184.0285265531947
UNOMINDA,1126.85,0.005493316928962829,2.9920938436394837,2.1989004318680427,True,False,0,45.208430571885486
HFCL,146.79,0.005089848450574796,2.6061539245430785,2.178869173475566,True,False,0,6.697295221054864
MMTC,101.64,0.005250355529399932,2.755004912266744,2.157417709525853,True,True,2,5.9128872482423365
FACT,965.55,0.005797745130545907,3.310404593439091,2.1524062259276495,True,False,0,52.82516949448876
360ONE,1080.95,0.004888264521002021,2.427539508465555,2.0953487423948873,True,False,0,42.93873064907626
CERA,9463.2,0.004869803565764625,2.411631076780767,2.06613430260809,True,False,0,316.58125641115697
JUBLFOOD,650.9,0.004486964114367219,2.097870552235039,2.0118448248321603,True,False,0,17.719704946970477
ARE&M,1520.45,0.0052029247121689525,2.710390130154131,1.9435312847317259,True,False,0,71.3681309565679
VGUARD,461.1,0.004556328004143768,2.1524964319624567,1.9435188316354044,True,False,0,18.08877688472157
LALPATHLAB,3358.75,0.00434975431818157,1.9925865734745725,1.9233773891485828,True,False,0,82.06185263480432
PRAJIND,728.95,0.005039367607915574,2.560569974320638,1.913884282873903,True,False,0,28.187286528010663
GODFRYPHLP,6129.95,0.004928198025029927,2.462205806623384,1.8454305636712032,True,True,1,220.1392753384508
ERIS,1342.6,0.004357823880700993,1.99867827904888,1.8070684511839026,True,False,0,39.29870132221151
BALRAMCHIN,578.8,0.004492608420314454,2.102279990360883,1.7900279356809812,True,False,0,15.32395632366048
DOMS,2493.65,0.004366771372214725,2.005447230799003,1.7837893273359837,True,False,0,95.50178351925989
RCF,198.97,0.005143566073860516,2.6553017597936828,1.776835686635683,True,False,0,10.625286240469237
SUNTECK,570.45,0.0046346673080107665,2.215349823662904,1.6959366559761804,True,False,0,24.271742451078534
CAMS,4336.2,0.0041922177004781,1.876110499945721,1.693779904923971,True,False,0,179.30253321785065
NBCC,194.82,0.004441513346927437,2.0625912257454746,1.6406233355066069,True,False,0,9.404478533309787
MGL,1778.4,0.004478030213694102,2.0909040281065265,1.6339900172818924,True,False,0,61.07405414086969
ATUL,7840.75,0.004227120275190596,1.9015187573862415,1.6337794752473969,True,False,0,200.46496480307613
HSCL,524.8,0.004400666751258959,2.0312286164666533,1.5809903129484308,True,False,0,17.926014948312762
INFY,1933.35,0.00393945322476529,1.698624537472896,1.5222116984198681,True,False,0,33.92192003905408
ZOMATO,252.34,0.004350446246530133,1.993108424152144,1.5155974368646443,True,False,0,9.504079219999923
CASTROLIND,266.2,0.004441744553836424,2.0627696701910803,1.4919435621758885,True,False,0,11.128531794214835
GLAXO,2766.7,0.004117862907115941,1.822721393026642,1.4716423870708624,True,False,0,97.64985251699686
GESHIP,1301.5,0.004115027893916171,1.8207054952076551,1.4415199995439478,True,False,0,59.83470813474329
AUROPHARMA,1563.15,0.0037425197600118843,1.5679681408071073,1.4362249706176309,True,False,0,38.836123901940994
CROMPTON,465.0,0.004093714745323015,1.805596341437052,1.4336924796102197,True,False,0,14.034068838787416
AVANTIFEED,661.05,0.004013014000581957,1.7491163372924032,1.403659030909922,True,False,0,31.760789856478407
MINDACORP,581.35,0.0037678038486105036,1.584382418769024,1.3763638413463863,True,False,0,16.819759223202837
ZENSARTECH,773.1,0.0037648493357804033,1.5824589659634296,1.2941597498370037,True,False,0,30.396884706972898
SUMICHEM,524.8,0.003659970150681781,1.5150997831459736,1.2653673065329132,True,False,0,18.965820696198577
EPL,244.95,0.0038116616085994938,1.6131038396223425,1.2637041615514775,True,False,0,8.814461534424415
MPHASIS,3103.45,0.003559588301416427,1.4522752129248726,1.2387367222828551,True,False,0,85.93411687046599
SUNTV,809.9,0.0036671525566734755,1.5196561512119895,1.2313820920590126,True,False,0,25.77384567057574
FEDERALBNK,195.92,0.003412266763839858,1.3629036536706423,1.2242832999781146,True,False,0,4.697095196326364
FINCABLES,1440.45,0.004794424428931128,2.347436925350445,1.2219161296589902,True,False,0,60.52965931996331
CRAFTSMAN,6042.4,0.003855533614302321,1.6421539398326894,1.2113263209608898,True,False,0,195.7771583886155
EIDPARRY,815.2,0.003605475370658438,1.4807967863782867,1.2100789003750305,True,False,0,28.67685494876143
HUDCO,293.65,0.004283670844078523,1.943163586658652,1.1945211495255073,True,False,0,15.516474336416746
POLICYBZR,1726.55,0.003563026941722171,1.4544011219634068,1.1912529346398881,True,False,0,68.83783415345926
TVSMOTOR,2751.55,0.003344940862055303,1.3231524947386557,1.1840400785282776,True,False,0,66.69224956156984
ICICIPRULI,742.3,0.0035051757728127627,1.4188792057055903,1.1741445793976222,True,False,0,19.133885286342
JKPAPER,467.95,0.004712715273786037,2.279215605048479,1.1656686504962586,True,False,0,23.131311679830418
ASHOKLEY,253.8,0.0035401323363191198,1.4402813712735019,1.1539887195633836,True,False,0,7.037084151806036
CESC,198.3,0.003610373164607434,1.483860585462513,1.1496743485217458,True,False,0,7.527238822696993
TECHM,1647.35,0.003244902560573213,1.265318676952429,1.1484071378859892,True,False,0,37.12916487291824
KNRCON,333.95,0.004396135074640543,2.0277689822062688,1.147940431527032,True,False,0,16.746866777750043
CHAMBLFERT,508.9,0.003844933109807817,1.6351053011261643,1.1399379213951857,True,False,0,21.471519606835567
FINEORG,5407.35,0.003326711202219517,1.3125047002879255,1.1310390384546558,True,False,0,176.06085312595434
TORNTPHARM,3434.55,0.0032042204950378816,1.242213538471805,1.1173303520931854,True,False,0,82.37554847364235
WELSPUNLIV,196.5,0.0038360139289101555,1.6291892010513727,1.1026606441978044,True,False,0,6.935157491555267
COFORGE,6282.25,0.003529566609236265,1.4337926100378784,1.1013782396925045,True,False,0,174.55464713852257
CAPLIPOINT,1794.45,0.0034754899183049013,1.4008514839525863,1.0997775696677976,True,False,0,63.270749912424726
RKFORGE,964.5,0.003900083575372166,1.6719834478646685,1.0984007117785006,True,False,0,38.42279819502135
IEX,205.71,0.0034119161384488367,1.3626948824016285,1.0953363507127223,True,False,0,6.522471618046188
KPITTECH,1857.85,0.0033630233810682166,1.3337627800126461,1.0879558353660912,True,False,0,69.06934452202063
JYOTHYLAB,539.5,0.0035288569356057807,1.433357394949255,1.0795729878974767,True,False,0,21.044728165826985
CDSL,1431.4,0.0037083752188859774,1.5459670423045537,1.0720743919561158,True,False,0,48.26259595854536
COLPAL,3607.15,0.003320913530529588,1.3091285671316468,1.0608527292314442,True,False,0,70.6151143174225
PATANJALI,1919.95,0.0034277799439994504,1.3721590829270203,1.0232903052840725,True,False,0,57.74297345683715
METROBRAND,1307.85,0.003077891178444166,1.171956940301468,1.0229993459630429,True,False,0,51.402142292983065
HDFCLIFE,736.9,0.0032981256920593207,1.2959063157933408,1.021283427216744,True,False,0,16.849856770838258
INDUSTOWER,446.55,0.003397022623804592,1.3538439169918277,1.0140218485885037,True,False,0,13.727130999449123
TITAGARH,1415.7,0.004614202131423015,2.198810228636789,1.0087655325259348,True,True,1,83.5845744107149
LUPIN,2193.75,0.003437558225091851,1.3780115914811861,1.002547730782499,True,False,0,45.789293728002505
SHRIRAMFIN,3200.5,0.003324926830138514,1.311465089098399,0.9984021742408129,True,False,0,95.92548419162277
JSWINFRA,325.75,0.003586282862675079,1.4688273514123695,0.9731396602796258,True,False,0,11.306269022785521
INOXWIND,219.94,0.004050118366552487,1.7749419508617623,0.9701619837816277,True,False,0,10.44401527740877
NAUKRI,7682.9,0.002945064961991344,1.1004600043286712,0.9546928647672795,True,False,0,212.22996764058348
