stock_name,price_band
360ONE,20
3MINDIA,20
ABB,
ACC,
AIAENG,20
APLAPOLLO,20
AUBANK,
AARTIIND,
AAVAS,20
ABBOTINDIA,
ACE,20
ADANIENSOL,20
ADANIENT,
ADANIGREEN,20
ADANIPORTS,
ADANIPOWER,20
ATGL,20
AWL,10
ABCAPITAL,
ABFRL,
AEGISLOG,20
AETHER,10
AFFLE,20
AJANTPHARM,20
APLLTD,20
ALKEM,
ALKYLAMINE,20
ALLCARGO,20
ALOKINDS,20
ARE&M,20
AMBER,20
AMBUJACEM,
ANANDRATHI,20
ANGELONE,20
ANURAS,20
APARINDS,20
APOLLOHOSP,
APOLLOTYRE,
APTUS,20
ACI,20
ASAHIINDIA,20
ASHOKLEY,
ASIANPAINT,
ASTERDM,20
ASTRAZEN,20
ASTRAL,
ATUL,
AUROPHARMA,
AVANTIFEED,20
DMART,20
AXISBANK,
BEML,20
BLS,20
BSE,20
BAJAJ-AUTO,
BAJFINANCE,
BAJAJFINSV,
BAJAJHLDNG,20
BALAMINES,20
BALKRISIND,
BALRAMCHIN,
BANDHANBNK,
BANKBARODA,
BANKINDIA,20
MAHABANK,20
BATAINDIA,
BAYERCROP,20
BERGEPAINT,
BDL,20
BEL,
BHARATFORG,
BHEL,
BPCL,
BHARTIARTL,
BIKAJI,10
BIOCON,
BIRLACORPN,20
BSOFT,
BLUEDART,20
BLUESTARCO,20
BBTC,20
BORORENEW,20
BOSCHLTD,
BRIGADE,20
BRITANNIA,20
MAPMYINDIA,20
CCL,20
CESC,20
CGPOWER,20
CIEINDIA,20
CRISIL,20
CSBBANK,20
CAMPUS,20
CANFINHOME,
CANBK,
CAPLIPOINT,20
CGCL,20
CARBORUNIV,20
CASTROLIND,20
CEATLTD,20
CELLO,20
CENTRALBK,20
CDSL,20
CENTURYPLY,20
CENTURYTEX,20
CERA,20
CHALET,20
CHAMBLFERT,
CHEMPLASTS,20
CHENNPETRO,20
CHOLAHLDNG,20
CHOLAFIN,
CIPLA,
CUB,
CLEAN,20
COALINDIA,
COCHINSHIP,10
COFORGE,
COLPAL,
CAMS,20
CONCORDBIO,20
CONCOR,
COROMANDEL,
CRAFTSMAN,20
CREDITACC,20
CROMPTON,
CUMMINSIND,
CYIENT,20
DCMSHRIRAM,20
DLF,
DOMS,20
DABUR,
DALBHARAT,
DATAPATTNS,20
DEEPAKFERT,20
DEEPAKNTR,
DELHIVERY,20
DEVYANI,20
DIVISLAB,
DIXON,
LALPATHLAB,
DRREDDY,
EIDPARRY,20
EIHOTEL,20
EPL,20
EASEMYTRIP,20
EICHERMOT,
ELECON,20
ELGIEQUIP,20
EMAMILTD,20
ENDURANCE,20
ENGINERSIN,20
EQUITASBNK,20
ERIS,20
ESCORTS,
EXIDEIND,
FDC,20
NYKAA,20
FEDERALBNK,
FACT,20
FINEORG,20
FINCABLES,20
FINPIPE,20
FSL,20
FIVESTAR,20
FORTIS,20
GAIL,
GMMPFAUDLR,20
GMRINFRA,
GRSE,10
GICRE,20
GILLETTE,20
GLAND,20
GLAXO,20
GLS,10
GLENMARK,
MEDANTA,20
GPIL,20
GODFRYPHLP,20
GODREJCP,
GODREJIND,20
GODREJPROP,
GRANULES,
GRAPHITE,20
GRASIM,
GESHIP,20
GRINDWELL,20
GAEL,20
FLUOROCHEM,20
GUJGASLTD,
GMDCLTD,20
GNFC,
GPPL,20
GSFC,20
GSPL,20
HEG,20
HBLPOWER,20
HCLTECH,
HDFCAMC,
HDFCBANK,
HDFCLIFE,
HFCL,20
HAPPSTMNDS,20
HAPPYFORGE,10
HAVELLS,
HEROMOTOCO,
HSCL,10
HINDALCO,
HAL,
HINDCOPPER,
HINDPETRO,
HINDUNILVR,
HINDZINC,10
POWERINDIA,20
HOMEFIRST,20
HONASA,20
HONAUT,20
HUDCO,20
ICICIBANK,
ICICIGI,
ICICIPRULI,
ISEC,20
IDBI,20
IDFCFIRSTB,
IDFC,
IIFL,20
IRB,20
IRCON,20
ITC,
ITI,20
INDIACEM,20
INDIAMART,
INDIANB,20
IEX,
INDHOTEL,
IOC,
IOB,20
IRCTC,
IRFC,20
INDIGOPNTS,20
IGL,
INDUSTOWER,
INDUSINDBK,
NAUKRI,
INFY,
INOXWIND,20
INTELLECT,20
INDIGO,
IPCALAB,
JBCHEPHARM,20
JKCEMENT,
JBMA,20
JKLAKSHMI,20
JKPAPER,20
JMFINANCIL,20
JSWENERGY,20
JSWINFRA,10
JSWSTEEL,
J&KBANK,20
JINDALSAW,20
JSL,20
JINDALSTEL,
JIOFIN,20
JUBLFOOD,
JUBLINGREA,20
JUBLPHARMA,20
JWL,20
JUSTDIAL,20
JYOTHYLAB,20
KPRMILL,20
KEI,20
KNRCON,20
KPITTECH,20
KRBL,20
KSB,20
KAJARIACER,20
KPIL,20
KALYANKJIL,20
KANSAINER,20
KARURVYSYA,20
KAYNES,20
KEC,20
KFINTECH,20
KOTAKBANK,
KIMS,20
LTF,
LTTS,
LICHSGFIN,
LTIM,
LT,
LATENTVIEW,10
LAURUSLABS,
LXCHEM,20
LEMONTREE,20
LICI,20
LINDEINDIA,20
LLOYDSME,20
LUPIN,
MMTC,20
MRF,
MTARTECH,20
LODHA,20
MGL,
MAHSEAMLES,20
M&MFIN,
M&M,
MHRIL,20
MAHLIFE,20
MANAPPURAM,
MRPL,20
MANKIND,20
MARICO,
MARUTI,
MASTEK,20
MFSL,
MAXHEALTH,20
MAZDOCK,20
MEDPLUS,20
METROBRAND,20
METROPOLIS,
MINDACORP,20
MSUMI,20
MOTILALOFS,20
MPHASIS,
MCX,
MUTHOOTFIN,
NATCOPHARM,20
NBCC,20
NCC,20
NHPC,20
NLCINDIA,20
NMDC,
NSLNISP,20
NTPC,
NH,20
NATIONALUM,
NAVINFLUOR,
NESTLEIND,
NETWORK18,20
NAM-INDIA,20
NUVAMA,20
NUVOCO,20
OBEROIRLTY,
ONGC,
OIL,20
OLECTRA,20
PAYTM,20
OFSS,
POLICYBZR,20
PCBL,20
PIIND,
PNBHOUSING,20
PNCINFRA,20
PVRINOX,
PAGEIND,
PATANJALI,20
PERSISTENT,
PETRONET,
PHOENIXLTD,20
PIDILITIND,
PEL,
PPLPHARMA,20
POLYMED,20
POLYCAB,
POONAWALLA,20
PFC,
POWERGRID,
PRAJIND,20
PRESTIGE,20
PRINCEPIPE,20
PRSMJOHNSN,20
PGHH,20
PNB,
QUESS,20
RRKABEL,20
RBLBANK,
RECLTD,
RHIM,20
RITES,20
RADICO,20
RVNL,20
RAILTEL,20
RAINBOW,20
RAJESHEXPO,20
RKFORGE,20
RCF,20
RATNAMANI,20
RTNINDIA,20
RAYMOND,20
REDINGTON,20
RELIANCE,
RBA,20
ROUTE,10
SBFC,20
SBICARD,
SBILIFE,
SJVN,20
SKFINDIA,20
SRF,
SAFARI,20
SAMMAANCAP,20
MOTHERSON,
SANOFI,20
SAPPHIRE,20
SAREGAMA,20
SCHAEFFLER,20
SCHNEIDER,20
SHREECEM,
RENUKA,20
SHRIRAMFIN,
SHYAMMETL,20
SIEMENS,
SIGNATURE,20
SOBHA,20
SOLARINDS,20
SONACOMS,20
SONATSOFTW,20
STARHEALTH,20
SBIN,
SAIL,
SWSOLAR,5
STLTECH,20
SUMICHEM,20
SPARC,20
SUNPHARMA,
SUNTV,
SUNDARMFIN,20
SUNDRMFAST,20
SUNTECK,20
SUPREMEIND,20
SUVENPHAR,20
SUZLON,5
SWANENERGY,10
SYNGENE,
SYRMA,20
TV18BRDCST,20
TVSMOTOR,
TVSSCS,20
TMB,20
TANLA,20
TATACHEM,
TATACOMM,
TCS,
TATACONSUM,
TATAELXSI,20
TATAINVEST,20
TATAMTRDVR,
TATAMOTORS,
TATAPOWER,
TATASTEEL,
TATATECH,20
TTML,20
TECHM,
TEJASNET,20
NIACL,20
RAMCOCEM,
THERMAX,20
TIMKEN,20
TITAGARH,20
TITAN,
TORNTPHARM,
TORNTPOWER,20
TRENT,
TRIDENT,20
TRIVENI,20
TRITURBINE,20
TIINDIA,20
UCOBANK,20
UNOMINDA,20
UPL,
UTIAMC,20
UJJIVANSFB,20
ULTRACEMCO,
UNIONBANK,20
UBL,
UNITDSPR,
USHAMART,20
VGUARD,20
VIPIND,20
VAIBHAVGBL,20
VTL,20
VARROC,20
VBL,20
MANYAVAR,20
VEDL,
VIJAYA,20
IDEA,
VOLTAS,
WELCORP,20
WELSPUNLIV,20
WESTLIFE,20
WHIRLPOOL,20
WIPRO,
YESBANK,20
ZFCVINDIA,20
ZEEL,20
ZENSARTECH,20
ZOMATO,20
ZYDUSLIFE,
ECLERX,20
